artist_id,total_follower,artist_popularity
1Zoaf3n6LhFuN5Ir3Ab4yM,263,10
14hI6ZlrKB6X81Y046P2MW,7048,22
3t58jfUhoMLYVO14XaUFLA,355610,49
7fKByRicmiWrFBEn90MvuM,2769,21
4cGPrUtNiRS7pdfiKZ1EGw,3014,13
7exHU37Tr2al1SGQDhqy3Z,7942,31
6wFu8qYepLnl61GixCI5cu,33767,38
6vWDO969PvNqNYHIOW5v0m,37515138,86
5AqHeGEHpiF20R9PZM9CYx,1122,10
54m3plxbB6d8a0oIADRAgh,1350,17
1FqMxHnZ32ZLsPW4U9u1pR,820,14
7dRgH9TbkPlyf3auU5jZKY,2912,26
3AaY5O1qS0tcNPHwwMwplt,42297,34
3NAPMCsYGvsjBJuCTzb4GO,192,11
5N4xtDKoiC1Px300ozCTcp,635,11
144NUmM7lbKqQyb0N9w6Xy,48,7
4PphaaUl8xVZKCMlXZDIuX,202,7
2VddwtW7ie3dDcW8WKXHdn,2437,31
4u2LxHDBsFDH3J9NumXSCH,3318,20
7DT89nkTjnPsXUijqIxgCu,7513,29
6KVAGRLT6LHvatyFDZr1aI,1973,23
7i6bx5ASeX99tjQYqahDXL,23428,39
0jPcvO2Jz1kkvANItu53jI,8561,27
0c9irZlXmV6RJsbGOXjICJ,12,14
4qI7s7JhtuqJAAzAMrzBBD,3521,23
1KCSUZBJy1bAsIz7wUYkd8,21544,36
7xBrMNV9UKo2THKIk9xpBK,12108,27
3SozjO3Lat463tQICI9LcE,1250220,77
7IlRNXHjoOCgEAWN5qYksg,4541787,69
3ZpEKRjHaHANcpk10u6Ntq,2878743,77
5I0dT5ftsahh9CXCvwWS0D,1471,8
0nnECIkl6LBEbZdov3nTEj,3642,32
19M16Pbk613BUHKwOEilfv,140,15
5X0V59ipZnbvnubW0rQVri,150194,50
7xJVICbAWizNBKBD3mRWjF,54893,36
1zvVxcYQEbn9D1tMG7960a,5477,30
3x11XrMEnyP18hv73pmKRL,9994,40
4o9osC05KC6Gayy2WN78p3,479,8
0shMltxCEpoQWgg6KSJRHO,383,10
3qzCdNIqZ4MZ5t8FtnHqAx,447,14
2uz9ERD3U5c4F2CZDS0mzb,8489,30
7Eu1txygG6nJttLHbZdQOh,725936,60
1o1szEyRkKUmDfqHOsU9b5,42939,47
2P5sC9cVZDToPxyomzF1UH,3446103,69
4lPl9gqgox3JDiaJ1yklKh,496365,57
3CE6MgsLpKMDfYFtexgc8U,113270,60
3n8qeKQViV1waeCzZmS4Tx,71662,38
2ycbMlovjNV5gks2r8Vtsp,8255,26
3Cp20KSVlMlFuOdqiqHFGR,17122,35
2BS3fywRW33o5GygfzZaOZ,18805,28
7Fv9bX6Oy7AhbhKXh5dgIG,3629,23
1zkKkDDra0jlsiJYz57P3P,84176,52
6tpaMMCs8X6o8j9H5OmWmT,95137,57
1ocXUwcqDsN6p6zRpAXOl6,1050,18
4lT3QEjGrOZyCwqoHPjZES,438,4
06xa1OLBsMQJFXcl2tQkH4,121699,46
0NIIxcxNHmOoyBx03SfTCD,2697002,66
7e0d8Rr8wnZlu4CvQU5eHU,1071,10
7d6RF1h3kPu6Ij0RXcTeJg,12854,25
6zmjY4utOtTz5N4Q1PdTVC,5369,11
1wlzPS1hSNrkriIIwLFTmU,164365,56
3xLOLsGCDyUCj1L9W5fUpl,6880,45
3A5tHz1SfngyOZM2gItYKu,2223753,66
6w1PsA3Lux2vlfaymj66w8,68673,48
06MtOym27ALcfdtVOsRcaA,69183,41
0PWRmh7cvWvJWlskHG2LlO,1674,11
5EHcF3h1NIxCuuvhFJP08H,210,5
4vpGVGgxSDcCTmqYbsOnsn,17963,55
335TWGWGFan4vaacJzSiU8,140776,55
25uiPmTg16RbhZWAqwLBy5,3154646,74
4BrSvpXSgT02JhhNULggJk,4995,12
5j93hwFBNo29RJMsWvtzj8,77622,45
1AmknJ29fbA6ahZXxFCNLE,9107,33
4kXGF3u3kGDHDoLmbdvUzS,4648,21
39vtb2iiz3079nqfL5nfFc,120536,46
2WpwNw5EKb52c1QlvnGqfs,5611,32
6Xep0FcobRPss2EjGf3ewz,3070,23
59RNNqeEfkq3X5pfOQxZ3C,63980,46
