artist_id;artist_name;track_id
1Zoaf3n6LhFuN5Ir3Ab4yM;Jane Paknia;1V9kNQy5UOsgRbgrNu595p
14hI6ZlrKB6X81Y046P2MW;Hagop Tchaparian;1V9kNQy5UOsgRbgrNu595p
3t58jfUhoMLYVO14XaUFLA;Pat Metheny;3sn5gqosgrs0y1ljACKUCt
7fKByRicmiWrFBEn90MvuM;Draag;1mcYsmqdy5B9zte056Cxgq
4cGPrUtNiRS7pdfiKZ1EGw;The Drin;2O2Pt2sbaUUA9o8CoRVOeW
7exHU37Tr2al1SGQDhqy3Z;RiTchie;04Blc3wPUReZEVymBvn30i
6wFu8qYepLnl61GixCI5cu;Chris Patrick;70Pxlv6OpjLTGwtUQhRLwa
6vWDO969PvNqNYHIOW5v0m;Beyoncé;0K9tfzrxJyCQIf7oAlPwaK
5AqHeGEHpiF20R9PZM9CYx;Rattlesnakke;20WiJleGqh8LoVrW0jE4Sm
54m3plxbB6d8a0oIADRAgh;Aleroj;20WiJleGqh8LoVrW0jE4Sm
1FqMxHnZ32ZLsPW4U9u1pR;Church Chords;3d5WVBVLX3hv8gnoPxZdPV
7dRgH9TbkPlyf3auU5jZKY;Thalma De Freitas;3d5WVBVLX3hv8gnoPxZdPV
3AaY5O1qS0tcNPHwwMwplt;Jeff Parker;3d5WVBVLX3hv8gnoPxZdPV
3NAPMCsYGvsjBJuCTzb4GO;Ben Boye;3d5WVBVLX3hv8gnoPxZdPV
5N4xtDKoiC1Px300ozCTcp;Devin Hoff;3d5WVBVLX3hv8gnoPxZdPV
144NUmM7lbKqQyb0N9w6Xy;Nate Walcott;3d5WVBVLX3hv8gnoPxZdPV
4PphaaUl8xVZKCMlXZDIuX;John Herndon;3d5WVBVLX3hv8gnoPxZdPV
2VddwtW7ie3dDcW8WKXHdn;FearDorian;2GlIblEAaKw75BXkRHVlpu
4u2LxHDBsFDH3J9NumXSCH;Merce Lemon;3Y6nnH4zYeJFNGRhSEq8Mx
7DT89nkTjnPsXUijqIxgCu;Marina Allen;6xeD8GYFsF1jUlps21rWHO
6KVAGRLT6LHvatyFDZr1aI;youbet;26Swptg946qdQg550xWHVS
7i6bx5ASeX99tjQYqahDXL;Reyna Tropical;4vaCRKqwtnnpUpAvFjveVB
0jPcvO2Jz1kkvANItu53jI;Busy Twist;4vaCRKqwtnnpUpAvFjveVB
0c9irZlXmV6RJsbGOXjICJ;Franklin Tejedor;4vaCRKqwtnnpUpAvFjveVB
4qI7s7JhtuqJAAzAMrzBBD;Bill MacKay;4EXMDeq0215XfvNRzwROMT
1KCSUZBJy1bAsIz7wUYkd8;Cola;5VAGx9L6hdAk6PgVWpmX13
7xBrMNV9UKo2THKIk9xpBK;1010benja;5hgUndN85doaU8jf6sM1Tj
3SozjO3Lat463tQICI9LcE;Tyla;2sghtIUWplVFKBRIHsVmFu
7IlRNXHjoOCgEAWN5qYksg;Aya Nakamura;6oi6AAmRd2IbanRMQZC39J
3ZpEKRjHaHANcpk10u6Ntq;Ayra Starr;6oi6AAmRd2IbanRMQZC39J
5I0dT5ftsahh9CXCvwWS0D;Edgar Mondragón;2nQO9KqOyetCZwvCkCHo39
0nnECIkl6LBEbZdov3nTEj;Jawnino;1nUQzkNDpCd4eNi2md8pHC
19M16Pbk613BUHKwOEilfv;Cold;1nUQzkNDpCd4eNi2md8pHC
5X0V59ipZnbvnubW0rQVri;Roc Marciano;7b1U1WyYSe694jTqmF3tEN
7xJVICbAWizNBKBD3mRWjF;Marie Davidson;1HhAkXeH56SVZiYFJrMJ49
1zvVxcYQEbn9D1tMG7960a;Still House Plants;6305Bu0OiRaTWV1f083Wsv
3x11XrMEnyP18hv73pmKRL;Chanel Beads;5rsMJbGg6IqniuGPaCFXd9
4o9osC05KC6Gayy2WN78p3;Hour;2vkkyqGIWyrzmdFNYYSwDZ
0shMltxCEpoQWgg6KSJRHO;Ibelisse Guardia Ferragutti;3eTnjZlQ6P1Ry4q4SsELHk
3qzCdNIqZ4MZ5t8FtnHqAx;Frank Rosaly;3eTnjZlQ6P1Ry4q4SsELHk
2uz9ERD3U5c4F2CZDS0mzb;Maria Chiara Argirò;6t7ssvIwRyThKBiI9xi85q
7Eu1txygG6nJttLHbZdQOh;Four Tet;6oTshmafPagXMEZeLBzc6Y
1o1szEyRkKUmDfqHOsU9b5;Chuck Strangers;60D2JqdH4iixYCW5KQFNyR
2P5sC9cVZDToPxyomzF1UH;Joey Bada$$;60D2JqdH4iixYCW5KQFNyR
4lPl9gqgox3JDiaJ1yklKh;Tierra Whack;08Egrggyiheiycgva8cra3
3CE6MgsLpKMDfYFtexgc8U;LAZER DIM 700;5f8WqzEJVWEs00Mf9Zvofc
3n8qeKQViV1waeCzZmS4Tx;Kim Gordon;5z8H0o98dlKANCnDlKsjkY
2ycbMlovjNV5gks2r8Vtsp;Margaux;3O78zVX5FiJmQ9gsWfqrN2
3Cp20KSVlMlFuOdqiqHFGR;Mei Semones;3GP1pJRZN7vWwjsASfgPM4
2BS3fywRW33o5GygfzZaOZ;Wild Pink;4pO4S5dLphqavzoByuZikz
7Fv9bX6Oy7AhbhKXh5dgIG;Blue Bendy;0CDeDKJOeqqOP3ng2cIsmr
1zkKkDDra0jlsiJYz57P3P;Mustafa;1ydE5C1KehuCQI8EM3qXrQ
6tpaMMCs8X6o8j9H5OmWmT;Yaya Bey;1TwbcQGYt9wwc7nbqVF9pL
7xBrMNV9UKo2THKIk9xpBK;1010benja;5F8GAVRpx51r48ARgECxJy
1ocXUwcqDsN6p6zRpAXOl6;MIZU;18vwg4Mfc78ZRkeWfhIHuA
4lT3QEjGrOZyCwqoHPjZES;Concrete Husband;18vwg4Mfc78ZRkeWfhIHuA
06xa1OLBsMQJFXcl2tQkH4;Machinedrum;5BrX72zkxJaowRZwgM8wyB
0NIIxcxNHmOoyBx03SfTCD;Tinashe;5BrX72zkxJaowRZwgM8wyB
7e0d8Rr8wnZlu4CvQU5eHU;Dos Flakos;4wrMjkv0phLk5bEiSKvTCn
7d6RF1h3kPu6Ij0RXcTeJg;FIGHT CLVB;4wrMjkv0phLk5bEiSKvTCn
6zmjY4utOtTz5N4Q1PdTVC;Kapoh;4wrMjkv0phLk5bEiSKvTCn
1wlzPS1hSNrkriIIwLFTmU;MIKE;4j25WxLITRGhkYNmdezE8s
3xLOLsGCDyUCj1L9W5fUpl;Tony Seltzer;4j25WxLITRGhkYNmdezE8s
3A5tHz1SfngyOZM2gItYKu;Earl Sweatshirt;4j25WxLITRGhkYNmdezE8s
6w1PsA3Lux2vlfaymj66w8;Tony Shhnow;4j25WxLITRGhkYNmdezE8s
06MtOym27ALcfdtVOsRcaA;Emel;5djAfJnDYgAtpo7bJjFDZG
0PWRmh7cvWvJWlskHG2LlO;Ami Yèrèwolo;5djAfJnDYgAtpo7bJjFDZG
5EHcF3h1NIxCuuvhFJP08H;Clothing;4pU8p1H78WyQloyJBR6KWE
4vpGVGgxSDcCTmqYbsOnsn;Amber Coffman;4pU8p1H78WyQloyJBR6KWE
335TWGWGFan4vaacJzSiU8;A. G. Cook;4szX2NPDe0vhoCGwO4g9cw
25uiPmTg16RbhZWAqwLBy5;Charli XCX;01TnMXIy7mJJQ7E8uy937N
4BrSvpXSgT02JhhNULggJk;Body Meat;7xUAdQvYQFjR767gAzJy24
5j93hwFBNo29RJMsWvtzj8;Zelooperz;6jaumuvzitwJKxGJEFfKjM
1AmknJ29fbA6ahZXxFCNLE;Real Bad Man;7p90pU04v5Tt6pNxnyGNXc
4kXGF3u3kGDHDoLmbdvUzS;Lukah;7p90pU04v5Tt6pNxnyGNXc
39vtb2iiz3079nqfL5nfFc;billy woods;7p90pU04v5Tt6pNxnyGNXc
2WpwNw5EKb52c1QlvnGqfs;Rosali;3b8tpoO04x1NkH0O5Chx8t
6Xep0FcobRPss2EjGf3ewz;Hannah Frances;5t8aBG6LcPyJrQl4gdUYTD
59RNNqeEfkq3X5pfOQxZ3C;Hovvdy;0PbXhejxq3Ih2ObOGfundH
3TYvsBqwPbIkMvBgAJf5W6;Sunday Cruise;0ZGRkUF13K8ke3bazWIl0T
7H3XA0651dLTrDSIKMqV9r;Beeef;3gTIMx8YkElWYkvc6H3pgR
52txBRG3MARNC9QMCUcT5o;Mo Troper;2BOBG1uAz5X2UukynsvgXb
4CLh84k1pT9WmMC3hkJCiS;Boundary;28bX7nVpWmFjU6jG72adUf
11dMqVZY4PHgVL80tejvHK;Omar Souleyman;5da9mhqPimauZM5WwnEwzP
5IcR3N7QB1j6KBL8eImZ8m;ScHoolboy Q;3K5yjMCFHN4TRWKj1zdKIQ
4DnRQspXhzqgCMkJJmOS4T;RealYungPhil;7aSecH0g4ZovVsR7E7GmBv
1wlzPS1hSNrkriIIwLFTmU;MIKE;7aSecH0g4ZovVsR7E7GmBv
6EyzBjjCPBP7s5W8d3wMOe;Babymorocco;7DKhGCTA1lGdZCLrsnJVr9
7zNkqI6qRr0OJ4XO1Pw29g;Nourished by Time;2uffOhl7IE6vbk8NtvpD9c
7tYKF4w9nC0nq9CsPZTHyP;SZA;0KiE48vGMjJPschn1WxWMn
5sgpZfCPK6zd3MEB1Nrhey;Combo Chimbita;0JqaXaOMP5twlD80Sk8rre
1tkI6B2dhAElFsnY2IVWEg;Chaepter;6IeEPBIjpfO13dVRoPDIOE
1LhAwMWCGYmplvmnZmvoDz;Rui Gabriel;0pC0qIpSTvptjrCSg0p9Gq
5yNcIZz69fYkSRhiGoFx8T;Kate Teague;0pC0qIpSTvptjrCSg0p9Gq
4aKWmkWAKviFlyvHYPTNQY;Adrianne Lenker;2T0NGoXh9FT1kCjQA5Phto
6M2wZ9GZgrQXHCFfjv46we;Dua Lipa;6Qb7YsAqH4wWFUMbGsCpap
7BMR0fwtEvzGtK4rNGdoiQ;Nia Archives;1LqFMtMW44W8XQ1OtV43gg
3htHSxpeypHeFwMIlJzndd;Eat-Girls;1vFHMD1ggdPHQdJPr1sGAa
03aiitie1Nvoq2vvHF3kLR;feeo;4jMfntwDOIdSRz7kmeCgpG
3Yjr5lVbAr2Fe7Lmpwja70;Babehoven;3g3WLQLqNNLyzCY7rBZup7
5HJ4w3pMArwtZi7xywAEWj;Fatboi Sharif;4vR5uqdSi0x9FaVN0nb1FV
3IbBDWFU62Ffx84oPtkec8;Roper Williams;4vR5uqdSi0x9FaVN0nb1FV
6vWDO969PvNqNYHIOW5v0m;Beyoncé;3Fwebmu4BzPUpDtPZo0qHb
