artist_id,total_follower,artist_popularity
7w29UYBi0qsHi5RTcv3lmA,2085755,60
7ltDVBr6mKbRvohxheJ9h1,8148514,77
1Wxx3yxd6gZsNiAF1OwLk0,10459,35
5RMLpCv3ic2KtGnqJ7eMG4,16980,41
4aEnNH9PuU1HF3TsZTru54,666739,55
1isATZk8trk0NGopQvVvc7,73,1
1H6X7yhnXZg73f9bssaj1Q,70122,55
7i1CyQ1fogh4bkj3EPj3ls,157892,46
7BMR0fwtEvzGtK4rNGdoiQ,171491,58
0jIWKlfmD4Ew7HeVVrq03g,168696,56
1jwOuEBcOKq0BeudSarbEM,73757,41
16ReCN8nJeX63Px3pynFze,1444,13
1Zoaf3n6LhFuN5Ir3Ab4yM,313,10
14hI6ZlrKB6X81Y046P2MW,7182,23
3t58jfUhoMLYVO14XaUFLA,358277,51
7fKByRicmiWrFBEn90MvuM,3012,22
4cGPrUtNiRS7pdfiKZ1EGw,3082,14
7exHU37Tr2al1SGQDhqy3Z,8354,29
6wFu8qYepLnl61GixCI5cu,34388,39
6vWDO969PvNqNYHIOW5v0m,37985776,86
5AqHeGEHpiF20R9PZM9CYx,1197,11
54m3plxbB6d8a0oIADRAgh,1521,19
1FqMxHnZ32ZLsPW4U9u1pR,847,12
7dRgH9TbkPlyf3auU5jZKY,2918,27
3AaY5O1qS0tcNPHwwMwplt,42620,34
3NAPMCsYGvsjBJuCTzb4GO,193,9
5N4xtDKoiC1Px300ozCTcp,640,9
144NUmM7lbKqQyb0N9w6Xy,48,5
4PphaaUl8xVZKCMlXZDIuX,204,5
2VddwtW7ie3dDcW8WKXHdn,2797,33
4u2LxHDBsFDH3J9NumXSCH,3428,21
7DT89nkTjnPsXUijqIxgCu,8091,32
6KVAGRLT6LHvatyFDZr1aI,2194,23
7i6bx5ASeX99tjQYqahDXL,24542,40
0jPcvO2Jz1kkvANItu53jI,8671,29
0c9irZlXmV6RJsbGOXjICJ,14,13
4qI7s7JhtuqJAAzAMrzBBD,3644,25
1KCSUZBJy1bAsIz7wUYkd8,22487,40
7xBrMNV9UKo2THKIk9xpBK,12252,26
3SozjO3Lat463tQICI9LcE,1447189,78
7IlRNXHjoOCgEAWN5qYksg,4586227,71
3ZpEKRjHaHANcpk10u6Ntq,3021860,79
5I0dT5ftsahh9CXCvwWS0D,1479,8
0nnECIkl6LBEbZdov3nTEj,4089,31
19M16Pbk613BUHKwOEilfv,166,15
5X0V59ipZnbvnubW0rQVri,151767,51
7xJVICbAWizNBKBD3mRWjF,55371,37
1zvVxcYQEbn9D1tMG7960a,5984,28
3x11XrMEnyP18hv73pmKRL,11677,42
4o9osC05KC6Gayy2WN78p3,505,7
0shMltxCEpoQWgg6KSJRHO,560,17
3qzCdNIqZ4MZ5t8FtnHqAx,611,19
2uz9ERD3U5c4F2CZDS0mzb,8797,30
7Eu1txygG6nJttLHbZdQOh,730794,61
1o1szEyRkKUmDfqHOsU9b5,44031,48
2P5sC9cVZDToPxyomzF1UH,3475088,70
4lPl9gqgox3JDiaJ1yklKh,499500,57
3CE6MgsLpKMDfYFtexgc8U,154672,63
3n8qeKQViV1waeCzZmS4Tx,73844,38
2ycbMlovjNV5gks2r8Vtsp,8854,33
3Cp20KSVlMlFuOdqiqHFGR,18073,36
2BS3fywRW33o5GygfzZaOZ,18933,29
7Fv9bX6Oy7AhbhKXh5dgIG,4048,24
1zkKkDDra0jlsiJYz57P3P,87741,54
6tpaMMCs8X6o8j9H5OmWmT,98273,57
1ocXUwcqDsN6p6zRpAXOl6,1122,17
4lT3QEjGrOZyCwqoHPjZES,456,4
06xa1OLBsMQJFXcl2tQkH4,123900,48
0NIIxcxNHmOoyBx03SfTCD,2735987,71
3qsKSpcV3ncke3hw52JSMB,3103876,80
1wlzPS1hSNrkriIIwLFTmU,168694,56
3xLOLsGCDyUCj1L9W5fUpl,7138,45
3A5tHz1SfngyOZM2gItYKu,2242087,68
6w1PsA3Lux2vlfaymj66w8,70020,48
06MtOym27ALcfdtVOsRcaA,70130,41
0PWRmh7cvWvJWlskHG2LlO,1681,11
5EHcF3h1NIxCuuvhFJP08H,344,21
4vpGVGgxSDcCTmqYbsOnsn,18248,56
335TWGWGFan4vaacJzSiU8,146118,56
25uiPmTg16RbhZWAqwLBy5,3289605,82
4BrSvpXSgT02JhhNULggJk,5082,14
5j93hwFBNo29RJMsWvtzj8,78498,46
1AmknJ29fbA6ahZXxFCNLE,9424,34
4kXGF3u3kGDHDoLmbdvUzS,4717,22
39vtb2iiz3079nqfL5nfFc,122374,47
2WpwNw5EKb52c1QlvnGqfs,5867,33
6Xep0FcobRPss2EjGf3ewz,3261,22
59RNNqeEfkq3X5pfOQxZ3C,64851,45
3TYvsBqwPbIkMvBgAJf5W6,28730,31
7H3XA0651dLTrDSIKMqV9r,2048,16
52txBRG3MARNC9QMCUcT5o,4692,24
4CLh84k1pT9WmMC3hkJCiS,4755,19
11dMqVZY4PHgVL80tejvHK,96067,39
5IcR3N7QB1j6KBL8eImZ8m,4724308,71
4DnRQspXhzqgCMkJJmOS4T,21771,37
6EyzBjjCPBP7s5W8d3wMOe,5959,29
7zNkqI6qRr0OJ4XO1Pw29g,17313,42
7tYKF4w9nC0nq9CsPZTHyP,20792338,89
5sgpZfCPK6zd3MEB1Nrhey,26879,27
1tkI6B2dhAElFsnY2IVWEg,415,6
1LhAwMWCGYmplvmnZmvoDz,493,14
5yNcIZz69fYkSRhiGoFx8T,2087,10
4aKWmkWAKviFlyvHYPTNQY,441124,68
6M2wZ9GZgrQXHCFfjv46we,43708601,88
3htHSxpeypHeFwMIlJzndd,720,5
03aiitie1Nvoq2vvHF3kLR,1867,15
3Yjr5lVbAr2Fe7Lmpwja70,13110,35
5HJ4w3pMArwtZi7xywAEWj,3207,18
3IbBDWFU62Ffx84oPtkec8,820,10
3K2gErmF9xLdo6dqOj1VbI,22760,38
6x8L59xNfuXIM7UfzoSe7g,8408,26
2rjGbM0H8EUQzTVx6BgUlG,16102,33
5DZBnxCYzs32O2bbqK8KNg,36152,32
33yje3hgpNfdXpqdJQcrt9,164576,51
7bvXpj7XZfmaZ2HOcqgY1a,12920,11
3NUtpWpGDoffm3RCGhSHtl,333704,51
4Ge8xMJNwt6EEXOzVXju9a,509196,59
3Uqu1mEdkUJxPe7s31n1M9,463590,56
1xcMOgFUM1IYZE22YjCvsL,182794,44
38m9i1Ro4UpoMLGuRm6bwq,20750,44
6XDTsLXTuyq3VqLKpW67To,8658,26
6g4udKFE5XMP1Vzu9O87om,84,7
7Cje7nyrHbuv6F3JzjwwCl,677,16
7iMvwE8qANp3aIfAGKEAwS,723918,58
2cADQgiLMjNhbsfeN52Bf3,431056,60
35fcckhFq2cF2u7hIG0fPv,43064,48
2LUmE2P3lFBAowx37RwoPF,674,10
3uAWPonHw80gRQRUjhdW5a,13351,34
0QwAWEp3r3Ut1dYNQb7JzS,10086,25
53jnd1fhXV7lbXSfjgk1WR,80709,39
3McQeN9sXTIvZHACTtsutN,8750,22
0ZDfzRfClYgIFsNUxygcQ9,535,6
2ZEtnLILrDPXloC9ujwaJS,7344,21
0d5HfXytZ9Q7DtK1OrpnnJ,409,9
2lHGXQLY8KwPpuxBRsINR2,3966,16
4J6CnIqPEtWYn3la2YYj2c,50838,34
65KD0ITHfxE6ix28iRAZdl,1363,13
06s35sbFfZJUEwFjAaZfiW,182586,56
0qLTeI81hEhEK1PK3WOf77,42508,42
3lIsPQW0jN6sMpiWuiShF0,70233,48
2ABBMkcUeM9hdpimo86mo6,176972,52
7iZKUiuW2jy1R3gWadKsvN,1532,17
1SUz2JjWDXSVyAtWokVinQ,9943,26
6O5k8LLRfDK8v9jj1GazAQ,105056,36
7tr9pbgNEKtG0GQTKe08Tz,157590,59
3QCMLWLjJyGA8cQCPrusdv,2091,19
6vcPgFOkMWBoY6Ks6eMEWj,26848,37
6sFIWsNpZYqfjUpaCgueju,4877347,71
1HHyE1TCzui5Lay0gwS6bR,22861,26
6xS5PpBWaVYraexEkEjjXv,454592,55
4bbAeMRdMbfCLVSlpryAVV,15232,46
3UGgeSB58lgBdaUJFPuEcy,116,11
0wAEYYaHOqYJhHaSvpZUwP,9168,35
6RcgNRwyY9YNTXd9luk8JW,16661,45
6vOfSVXZAWvuZliupPw4Wm,7199,27
1lgtR3WlcFxEy6yPoOh0J2,176907,50
5qPRgWcEOGRzoIST0sHAiI,113032,55
1naNwdJKuqxXkXerIXg1qn,140,1
3M3wTTCDwicRubwMyHyEDy,261795,58
62k5LKMhymqlDNo2DWOvvv,286921,59
4qUk32dcxFNOv89M0iUItq,2114,53
3a1tBryiczPAZpgoZN9Rzg,3478899,73
4bOqkIGQCcuZgjfDxNuX1I,34442,49
3MdXrJWsbVzdn6fe5JYkSQ,1652006,76
3sFTupo9UGgrujjN21BjwR,340146,51
1dZhZobekgJWD7yPVRrGFG,2068,17
6j9xL4IBj8sZNjRiQhx8oF,9555,25
7xoTSPGUr9u8FWR4G8AWoS,24184,33
68QhSfYuqyiT1KPoHlCvSv,4511,25
7Hu7HZdK9fwYiMyqtCICVR,8080,34
10JL2s5aUztzFyURrFrxtL,21309,44
09Sh0bFteXDeMFMLdjldlu,4377,18
3oLTaC5QBOH96VbxMAafpZ,21606,28
69qhRLDvsWJOhWGXXQ0lQQ,136409,45
7qiyPneI60DzZmxVxC7689,16501,36
5LCKmOTlZQaULxnQ1xIkD8,8121,36
336vr2M3Va0FjyvB55lJEd,1208553,58
3nFkdlSjzX9mRTtwJOzDYB,9154512,82
1URnnhqYAYcrqrcwql10ft,18889726,88
7HVlaChQbM9guWdiKMGxBq,2897,21
3WKDW1ASiWSa1T1nX01dUr,7935,21
66CXWjxzNUsdJxJ2JdwvnR,97088812,90
67FB4n52MgexGQIG8s0yUH,204176,55
1avO1wALC75qKqIUpkJh0T,22770,32
2oM7LMPFu882oC6jSwEqjd,59488,51
2jl4qd6UbzeCmImT4nWbtA,86874,58
2EFsfh1zewsSWhDINv7j1I,50566,48
46J5rGvJ6xnn5cCZguck6W,276,19
1c7bxvBwJrMuZKwx4EDPHf,34197,34
1jWzClO5EIz8fpvtl3bno5,8862,33
2WWAtobfGkojaSqMRN5V67,9824,29
2BMq835Yir366yDKvW3Rcv,60723,47
4oLeXFyACqeem2VImYeBFe,1510169,77
5SXuuuRpukkTvsLuUknva1,2388794,76
58Z78RXDceNPMypeB1Fa24,104,0
6PypZhdlKno9oouYu6roMG,15201,41
4mYY0UqYdvgdz60psupYBR,37565,52
197lTCdMFPariBJ2Xd1xNb,24299,35
4kANxfLenUobb7t5fHSrgA,46402,34
218pLy5tj6iFQ4e6c2ije6,4194,8
6EvFcDtvFuVugEtZNslkft,21276,32
4kwxTgCKMipBKhSnEstNKj,536468,47
0h1gX589xBKUCijeC8Bewy,82601,38
0dSnTqwXok006MwsjjlzUl,19604,38
7klmdoyDc4W8SnRhFDVcDY,1794,15
1ofhNTFMyFVSs62cJWG0oj,11956,45
29fUSOyH1ufr9HZbErHpc4,29484,42
1V2Lwh2oaudWqv7gTgBRgy,1602,6
2jmNddoRXuXqJgvaHASbNK,1833,29
4fpwOzxFRMVGfd197dKIdY,214104,61
3eRrSwoBXVymTu0DLNfTv5,339,10
12GqGscKJx3aE4t07u7eVZ,14324475,89
7Gi6gjaWy3DxyilpF1a8Is,16695655,88
3l9G1G9MxH6DaRhwLklaf5,1782411,82
1XDHnXR3sd1pGoc7vqUtBq,5894,25
1RpHbIW5eeEBs693nyrhSa,7257,36
0No4kFHG4fdYselL7OcAjv,1370,32
2Lu3mkEeoO6AYWSVPJOrG1,352,8
2iDgJPkdbRyMQgNlzuwetf,704,10
4nSIg6TVVkOBCeWXBBrEFD,557,9
2iM28IgKg89v1o7BTQAVPo,406743,52
59CWeBMEzwj6U2HhTVLJ3O,6878,24
0iViECTHd21gYy1zIEvusi,12083,30
5HViQsHNdOovxKa420CPGR,17939,35
0nnYdIpahs41QiZ9MWp5Wx,248116,57
6xdRb2GypJ7DqnWAI2mHGn,386566,57
2RBojylM3CJMcaQzNoXOzB,27939,42
33aS3DKsGRMWBwjM9ddhak,37004,48
65dGLGjkw3UbddUg2GKQoZ,774344,62
0ABk515kENDyATUdpCKVfW,610830,64
67gqUXxHedeUGDTxwBzdjS,322655,60
4Gl9z6ofcOFmKePvJJkaEv,8105,41
7lkNv4c37Rh6WU6AZSe87g,1947,10
4k1lFL4m8vmWnBdBenGraR,723,7
4wMQTWavQZgr8ySlo5s2Tt,59618,43
1pi7nGhOM7PTHR5YEgXVGq,247610,70
2KEqzdPS7M5YwGmiuPTdr5,1025243,58
21UPYSRWFKwtqvSAnFnSvS,390725,65
2p4aN0Uxkk3iT3HK0cJ2cJ,1203965,73
3DbwFQlvLxRSi2uX8mf81A,1071361,77
4dYQmk5ma04mZ1KJ9KkAQK,109869,61
6i2nxb8jZ6cmWzI7UkS7Np,602,19
20HVrU8f5rcNg2aZkMiSP0,16363,36
79bQnsHQLiPkCxKoi7zu0f,302,20
6niigcazB2JPcpasZfZvq1,111751,38
4z6YFfgSe8cIY9HxKUe531,36858,43
6qgnBH6iDM91ipVXv28OMu,1472097,74
3MM3uKNdJbvefUael12dl3,55447,57
7z3XgqpRYdNJ7RvEUlYaUe,10908,37
70uAxbEwXzRjLIuTFpdolw,4333,12
0yknvLWQZxwsMjhUhwWZQ8,190804,62
0hF6lbAjRsq4svrQUr5sgU,326484,64
3BcgTyEdL81zMljmXcilZM,223577,62
43s6uFZrdusv7ggmDSpO41,156279,61
1emgDf5qBtbL909f2Pt7uP,13357,34
41gxyJbzbAaChEyrZ9j3rv,14629,35
2rqNUPgkBgbhcRabUQ5C9g,150444,38
26AmoMf8mCSUdM2p363S6e,23,7
1gfwRuJObryOpbyjNqv3mi,461,5
3beAmqA2s5xwxDAIFJwDG9,12514,18
3PubLnxnO5N2Avr3UvG1Vc,6695,36
7nFgEBWvaRhDHSSmgUeQR1,835,7
1U1el3k54VvEUzo3ybLPlM,7317445,82
790FomKkXshlbRYZFtlgla,47418721,87
7LCDnUQYE07fnKbo46SVLB,98016,43
4ZG4S6skttdVhHz08AjMhR,25986,27
5fLSo9mAFFDtAJDo3Q2xcT,53951,46
37ASGd4rWpHjuVonnYAN6S,49748,52
7z3W8OunO3RH0quodR8Zsu,675,6
5yWDRD9Mxe9b50KZl61gJX,1391,11
3WTrdbZU99dgTtt3ZkyamT,908610,62
0R2UqQKBdSADXMN2Gx5CrB,6084,21
7bgO3Md82fHRDoFY1HnYlv,2349,13
0AJltdSFgxM1li4ad74mIJ,12621,26
1tho5dJnzdYD57EQkM3SmK,106955,39
20bPwdCt5LLFy2OVmZarDm,5265,29
