artist_id,artist_genres
4eR9k3I0YKCQUvvP2ojptw,new americana
65Msz2E34NUtbjEbsrsJlJ,crank wave
6tpaMMCs8X6o8j9H5OmWmT,experimental r&b
4wrzxtBZw20ufDstKyTnnP,uk pop
1WaFQSHVGZQJTbf0BdxdNo,chill abstract hip hop
33swwbOrC7iMmPF3TXGLNi,high vibe
1QcbaOVrpo91k6rHnzhMeA,australian post-punk
4meTRfbaVba24HXyBwbKJ0,australian indigenous music
4wLIbcoqmqI4WZHDiBxeCB,riot grrrl
7axA2bNeZsae6t2mgxoSFh,modern power pop
4E2rKHVDssGJm2SCDOMMJB,alternative r&b
7EEefVBNBS3ckwouEl62oB,indie pop
4CvTDPKA6W06DRfBnZKrau,oxford indie
35v2YILQxee0yatdWj6Kg7,acoustic cover
1Hs5RG6WIwUSJLxRYWaOW6,seattle indie
2kt9iXyIMY6yv45SapEw5r,dominican pop
0Byw4aFEQbFJBgL82P0LKc,r&b en espanol
2fgl3me4n9diODTrVfruF3,progressive post-hardcore
2rSgemTda5SY7PQcEscHUO,virginia hip hop
5WybyjV2fRyRQcJrmmiifF,virginia hip hop
5H9qWExyKaoAteM6JzlSoZ,boom bap
0jQlt8C2OuW3ZwHTSvTDI5,japanese singer-songwriter
25uiPmTg16RbhZWAqwLBy5,uk pop
5tDjiBYUsTqzd0RkTZxK7u,melodic house
6oBm8HB0yfrIc9IHbxs6in,swedish pop
5STTEE3TlZg9gb3xNC4RHF,nouvelle chanson francaise
39ZEMGRv3pIYTYKEhr4Abu,modern folk rock
4frXpPxQQZwbCu3eTGnZEw,indie soul
5INjqkS1o8h1imAzPqGZBb,rock
5APEQlUaQ5K70LgPqAdTuU,modern dream pop
4cGPrUtNiRS7pdfiKZ1EGw,crank wave
7fKByRicmiWrFBEn90MvuM,american shoegaze
1IOeIjSSt8AcZXEriZXcvx,austin singer-songwriter
1oPRcJUkloHaRLYx0olBLJ,la pop
6qqNVTkY8uBg9cP3Jd7DAH,pop
7B2edU3Q7btJoNsoHCNohM,singer-songwriter
790FomKkXshlbRYZFtlgla,urbano latino
4OTD2AbOu5iBqSWk3NfwG5,slacker rock
6FlOCziOXI157pvUREAh3E,welsh rock
15iVAtD3s3FsQR4w1v6M0P,trap
2DGBzoOLcKLK3eWxFyugdB,sudanese pop
1O9iHQjrVuiAYOJFCBeFSl,experimental r&b
09kXLeOXRyfNQMXRaDO4qA,uk alternative pop
0Ve1sk7tcGsb7ZVsp4o8GG,twee pop
1jtvmXiemNFkPO11NMdjfu,rap regio
0vRyt5xtZZ8cve0YTSxNIw,spectra
4nD7mZ37GMiFBSjvWZIlDb,american shoegaze
0lxgPYvUjEApUKpZmr61IE,urbano espanol
4mcHKwboFDmpDBQ4fiOrf3,experimental club
1CoZyIx7UvdxT5c8UkMzHd,uk contemporary r&b
1gR0gsQYfi6joyO1dlp76N,new rave
7bu3H8JO7d0UbMoVzbo70s,uk post-punk
5rgdw8NVhnxWL8Poo6HsiX,french reggae
63vMehdxxRWq9HBZHskapk,french reggae
25CgccXK9hJBTuaMF44zeR,pennsylvania shoegaze
480FcWBc0dlEZc52noh462,nashville indie
54N4voTBO17fp6dEegF4qa,experimental ambient
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
3eqjTLE0HfPfh78zjh6TqT,singer-songwriter
4I29IR2MABOOQXGDdcYA2q,countrygaze
3SGLeWc7J5Ve0CinAOrb3a,indie surf
5W10uJRsbt9bROJDKoI1Wn,la pop
4tK6Z8fK7Sc9133byjPGIT,slacker rock
4mAsHgZzoZvU0eMbHOB60X,rage rap
0WqsT2a4CBuQ0LC7vrJD0H,atl drill
3UkN1XeK2D4wD4uhtJx4vb,quebec indie
7EFB09NxZrMi9pGlOnuBpd,shoegaze
1WVGbBnzZ5WLZ2PfesIHik,countrygaze
69zPIMRgsZieOHFtHtvnj0,fourth world
0GmYGGZZIU8vHbI0bAXZun,nyc indie rock
63GTn25wbdRNX3ijCHvYxD,midwest emo
4hkOCqpKuf6KFaQeTGfYNw,african electronic
4HrCsxMRWFsSi8Vf0qBjK4,irish post-punk
0jyH4jtanxaysaxwDVhR6f,shoegaze
6Je4hal6B5wiRd46aeswrs,afro house
0VVnWF3KNaa5O7ESohKhAx,world
0Nks3cFWU2a7rooAlFQYgn,world
3MAzDpqE01xyUmzNsc0Ee0,southern soul
5RMLpCv3ic2KtGnqJ7eMG4,experimental techno
6Xo1vXFRCEJPgVqCyHlTPW,experimental ambient
4VcTmgGKGuJn56Ac2zNhiH,lancaster pa indie
65s98MYZ4xFpgKlUYS5XKw,viral rap
