artist_id,artist_genres
65Msz2E34NUtbjEbsrsJlJ,art rock
1QcbaOVrpo91k6rHnzhMeA,post-punk
7axA2bNeZsae6t2mgxoSFh,power pop
2kt9iXyIMY6yv45SapEw5r,latin indie
0Byw4aFEQbFJBgL82P0LKc,latin r&b
2fgl3me4n9diODTrVfruF3,emo
5WybyjV2fRyRQcJrmmiifF,experimental hip hop
5H9qWExyKaoAteM6JzlSoZ,boom bap
0jQlt8C2OuW3ZwHTSvTDI5,shibuya-kei
25uiPmTg16RbhZWAqwLBy5,art pop
5tDjiBYUsTqzd0RkTZxK7u,deep house
5STTEE3TlZg9gb3xNC4RHF,french house
39ZEMGRv3pIYTYKEhr4Abu,chamber pop
5INjqkS1o8h1imAzPqGZBb,psychedelic pop
5APEQlUaQ5K70LgPqAdTuU,dream pop
4cGPrUtNiRS7pdfiKZ1EGw,post-punk
7fKByRicmiWrFBEn90MvuM,slowcore
1IOeIjSSt8AcZXEriZXcvx,alt country
7B2edU3Q7btJoNsoHCNohM,indie folk
790FomKkXshlbRYZFtlgla,urbano latino
15iVAtD3s3FsQR4w1v6M0P,drill
2DGBzoOLcKLK3eWxFyugdB,alternative r&b
1O9iHQjrVuiAYOJFCBeFSl,alternative r&b
0Ve1sk7tcGsb7ZVsp4o8GG,jangle pop
1jtvmXiemNFkPO11NMdjfu,latin r&b
0vRyt5xtZZ8cve0YTSxNIw,drone
4nD7mZ37GMiFBSjvWZIlDb,slowcore
0lxgPYvUjEApUKpZmr61IE,cloud rap
0rq22r0SYR7d7pDXwq1tLV,alt country
1gR0gsQYfi6joyO1dlp76N,electronic rock
7bu3H8JO7d0UbMoVzbo70s,darkwave
5rgdw8NVhnxWL8Poo6HsiX,ragga
63vMehdxxRWq9HBZHskapk,reggae
25CgccXK9hJBTuaMF44zeR,slowcore
54N4voTBO17fp6dEegF4qa,ambient
40ZNYROS4zLfyyBSs2PGe2,red dirt
3SGLeWc7J5Ve0CinAOrb3a,garage rock
5W10uJRsbt9bROJDKoI1Wn,art pop
4tK6Z8fK7Sc9133byjPGIT,slowcore
4mAsHgZzoZvU0eMbHOB60X,cloud rap
3UkN1XeK2D4wD4uhtJx4vb,space rock
7EFB09NxZrMi9pGlOnuBpd,post-punk
63GTn25wbdRNX3ijCHvYxD,math rock
7KPlumtsoyeN8Qp3EPxv7L,vaporwave
4HrCsxMRWFsSi8Vf0qBjK4,post-punk
0jyH4jtanxaysaxwDVhR6f,ambient
6Je4hal6B5wiRd46aeswrs,afro house
0VVnWF3KNaa5O7ESohKhAx,afropop
0CX4q2v1TeyeskG7GgAyxI,afro house
0FSasrFTs0AQBrJkcFE6vB,afro house
0Nks3cFWU2a7rooAlFQYgn,fado
3MAzDpqE01xyUmzNsc0Ee0,soul
6Xo1vXFRCEJPgVqCyHlTPW,nu jazz
6M2wZ9GZgrQXHCFfjv46we,pop
09yvLritEUxHrzx5TlFvbl,alt country
1ZN1c1qWEGZNX1pGeKCPpf,americana
0cmSXx965Hnm6fP42oW6vY,emo
7LMdXzRix6vqLE1PefCPAg,screamo
0HzDn36ZNGZBYOGWp96Eeh,midwest emo
1fRv9jiRIN7zAOSpOfRP73,hardcore
6wH6iStAh4KIaWfuhf0NYM,spanish language reggae
22p8vOZwMABvl5qt2nZHWD,latin r&b
3rf7cB2o79L2LEcl9HIjAf,alté
0bhck1r45kgsoMNBVqIziz,indie r&b
4oLeXFyACqeem2VImYeBFe,house
687cZJR45JO7jhk1LHIbgq,afropop
7xTo7ipdBZezIoyAkmcRge,metal
27JCep1zDO3K8GY50trDo6,uk garage
5rv6OYiDFLm0gQ8wbihOib,french house
422Vo1v0NaW7ZVU8EwvhKW,indie
13GH7wviJQ9gfZmr1pXHS4,metalcore
7d0wUlQ0ZXIGFa0YzuBiR6,dream pop
3TJZG17pjOKXwx1ELKJPfm,shoegaze
6P86FLVAK4sxu8OhyQJBvH,experimental
6wmTznuYHk73RoBXkYEBnV,power pop
4yRSUmhuSJ3KcIMljdh4fH,sludge metal
3OyC0tKaejLvZHB4s78zED,christian alternative rock
75JMPNQ1B2A6WZydvs06Ok,hard house
0K4Pj79XGQRXv1ESJADlMX,jazz
0AJltdSFgxM1li4ad74mIJ,emo
61NKNrhSMTYg2q0f3vS46e,french house
2KlDlqEMf0YyYW8rBKUx6W,french house
5xS8cfsAaFyy188dNJGDbM,colombian pop
3d93jQ6vfQHLJSMbjr7o6M,power pop
0EJdA6JT738oZGopzk8Usg,french house
35fcckhFq2cF2u7hIG0fPv,boom bap
04UrujFn9VOscInw9kwHH8,east coast hip hop
0IqC2A5HTnTIKzqcFXJQms,dream pop
5vjIHa1u3TnOlDvVDR9qQa,shoegaze
151BUVKmiB9rHDjIkgbeVE,boom bap
0giUOGLTAaVVbdr7aSwM0N,hardcore hip hop
3ZpEKRjHaHANcpk10u6Ntq,afro soul
1dwirHaSjsKJUYDHgvl2op,shoegaze
7ELgaDINZw50qnlbK7iPhG,grindcore
5RNFFojXkPRmlJZIwXeKQC,glam rock
3t58jfUhoMLYVO14XaUFLA,jazz
1TkiNxDsrc0PgIWBrATCbe,shoegaze
5dyPWLr4wOvR1d6tSSVgrv,screamo
4P0dddbxPil35MNN9G2MEX,hip hop
03mz3G1gu1GPNgAWY4qR2w,progressive metal
0KRqdhJSmE5uVSJ2SyDpRZ,breakbeat
3UEuTog3sQ7Dt3mTv0bsEo,sludge metal
4aEnNH9PuU1HF3TsZTru54,idm
4rdJkXHNrMgowlwUdQAg8T,electropop
6hW33nVHPElaXuG2hQ0QOp,hardcore
1xU878Z1QtBldR7ru9owdU,indie
5aMPRdW6S0lzdsJgwdcggq,midwest emo
4SpbR6yFEvexJuaBpgAU5p,k-pop
78rUTD7y6Cy67W1RVzYs7t,bedroom pop
7auVoAwdrloWdyKULVOauu,alternative hip hop
4LEiUm1SRbFMgfqnQTwUbQ,indie folk
5jh7sgXW2njALiIh0aPXjB,noise rock
4Gmrt82h2vjGjnp67SG5Nw,post-punk
49O77SKrEk1b9sNjhI0kM4,sludge metal
2HGAZDmVV3GAH4XFAZdvSG,french pop
5CFSYjc0PAiQvndFjafabk,art pop
1R84VlXnFFULOsWWV8IrCQ,psychedelic pop
5iUnvXddCpOrbWKm7QMr6o,experimental hip hop
6WP8xxDLcPKNgdQWjU3BzN,midwest emo
2Mvgw0Sfyepmz6lgRAooex,jersey club
29rvPhemBdOLYdLr2xI8dr,neoperreo
3c5PAcbkeFrbWUp42FaBkW,dark ambient
3Ut1IKlpXHBQwxklMxBsPX,uk drill
1nRbtbdYK51y71nVOxu332,jersey club
64ATDQsFeDvIJokVA2YVke,math rock
73XtH9MpvvvcUxQxYEAX15,math rock
5IWCU0V9evBlW4gIeGY4zF,chamber pop
0aCjVhVSBUMVwo7WRrdLiJ,shibuya-kei
335TWGWGFan4vaacJzSiU8,hyperpop
39hfuTf4PHfnHgIl0QBDGL,reggaeton chileno
3diDUq8QMCCtx8a4Jy42aO,bedroom pop
1peoXq0RPx7czVoFjloeDQ,alternative hip hop
4fpwOzxFRMVGfd197dKIdY,jazz rap
1VuBGdfqq86BQyiDactQAC,boom bap
3QTDHixorJelOLxoxcjqGx,neo soul
5A7T1LAGJg5NXySBoIKUmF,underground hip hop
4q3ewBCX7sLwd24euuV69X,latin
16QCJENzcdhwka9bTKYMVB,midwest emo
3qOGTt4eTeEkCn3efhAGu2,uk funky
1nIJEqPyIj5qutlgWNmQB0,alternative r&b
6U1lmwvy3I9dIYu9RalJi6,shoegaze
3l0CmX0FuQjFxr8SK7Vqag,bedroom pop
53by9P3tpXOW1diWCI6MNu,garage rock
2rLGlNI6htigNxx172qxLu,shoegaze
1b1pwTnc2DJVXGy8pniShT,emo
5LhTec3c7dcqBvpLRWbMcf,jazz rap
