artist_id,total_follower,artist_popularity
4eR9k3I0YKCQUvvP2ojptw,36012,37
65Msz2E34NUtbjEbsrsJlJ,76790,51
6tpaMMCs8X6o8j9H5OmWmT,115659,52
1MRB7UrVK6DvvefA7pAqS8,106,17
4wrzxtBZw20ufDstKyTnnP,243974,59
1WaFQSHVGZQJTbf0BdxdNo,813282,74
33swwbOrC7iMmPF3TXGLNi,6115,25
1SXilrjOlDsfjsSLP2mBFk,8,1
1QcbaOVrpo91k6rHnzhMeA,6157,24
4meTRfbaVba24HXyBwbKJ0,32992,43
4wLIbcoqmqI4WZHDiBxeCB,271914,42
7axA2bNeZsae6t2mgxoSFh,61168,36
4E2rKHVDssGJm2SCDOMMJB,1372898,80
7EEefVBNBS3ckwouEl62oB,107187,46
4CvTDPKA6W06DRfBnZKrau,1148567,57
35v2YILQxee0yatdWj6Kg7,38263,49
1Hs5RG6WIwUSJLxRYWaOW6,44988,35
2kt9iXyIMY6yv45SapEw5r,11077,45
0Byw4aFEQbFJBgL82P0LKc,13781,34
2fgl3me4n9diODTrVfruF3,150434,45
1ZerBXsbpj16RGfRQt9GVy,1391,17
2rSgemTda5SY7PQcEscHUO,1896,12
5WybyjV2fRyRQcJrmmiifF,30897,48
5H9qWExyKaoAteM6JzlSoZ,5057,19
0jQlt8C2OuW3ZwHTSvTDI5,32094,27
4Fc4GqcYwYnTePiW3nggrd,13592,32
25uiPmTg16RbhZWAqwLBy5,4800201,83
5tDjiBYUsTqzd0RkTZxK7u,573658,64
6oBm8HB0yfrIc9IHbxs6in,1923699,67
5STTEE3TlZg9gb3xNC4RHF,44003,47
39ZEMGRv3pIYTYKEhr4Abu,74855,48
4frXpPxQQZwbCu3eTGnZEw,1430626,69
5INjqkS1o8h1imAzPqGZBb,8530431,79
5APEQlUaQ5K70LgPqAdTuU,55269,51
4cGPrUtNiRS7pdfiKZ1EGw,3563,13
7fKByRicmiWrFBEn90MvuM,3964,21
1IOeIjSSt8AcZXEriZXcvx,5918,13
1oPRcJUkloHaRLYx0olBLJ,372458,67
2Hkg1gn2Hpar1sVP8adtNp,52059,44
6qqNVTkY8uBg9cP3Jd7DAH,106135717,93
7B2edU3Q7btJoNsoHCNohM,524365,56
790FomKkXshlbRYZFtlgla,54178861,88
4OTD2AbOu5iBqSWk3NfwG5,13615,43
6FlOCziOXI157pvUREAh3E,183278,51
15iVAtD3s3FsQR4w1v6M0P,5436273,75
2DGBzoOLcKLK3eWxFyugdB,106765,44
1O9iHQjrVuiAYOJFCBeFSl,125251,53
09kXLeOXRyfNQMXRaDO4qA,217429,54
3UtzOHYm3lQALkKzVD4wyO,24912,45
0Ve1sk7tcGsb7ZVsp4o8GG,24325,34
1jtvmXiemNFkPO11NMdjfu,348373,68
0vRyt5xtZZ8cve0YTSxNIw,4647,21
7dMRwCBbJFmRLoUKkeGD3l,149,9
4nD7mZ37GMiFBSjvWZIlDb,7089,24
1SCoi5U37R1KbEQHuKKgam,5769,38
0lxgPYvUjEApUKpZmr61IE,25664,48
4mcHKwboFDmpDBQ4fiOrf3,35693,38
4JzQKxgdLmyqbplHxVL8xY,37293,44
0rq22r0SYR7d7pDXwq1tLV,232,3
1CoZyIx7UvdxT5c8UkMzHd,3523884,71
1gR0gsQYfi6joyO1dlp76N,1318697,64
1oK8ZGSUkLNP1WADzLSJe4,143,7
7bu3H8JO7d0UbMoVzbo70s,6096604,75
5rgdw8NVhnxWL8Poo6HsiX,188565,56
63vMehdxxRWq9HBZHskapk,200597,56
25CgccXK9hJBTuaMF44zeR,81714,40
480FcWBc0dlEZc52noh462,2008,20
54N4voTBO17fp6dEegF4qa,3588,21
40ZNYROS4zLfyyBSs2PGe2,6019001,86
3eqjTLE0HfPfh78zjh6TqT,6812704,77
4I29IR2MABOOQXGDdcYA2q,10057,23
3SGLeWc7J5Ve0CinAOrb3a,244349,51
5W10uJRsbt9bROJDKoI1Wn,380191,51
4tK6Z8fK7Sc9133byjPGIT,86166,56
4mAsHgZzoZvU0eMbHOB60X,89321,52
0WqsT2a4CBuQ0LC7vrJD0H,113384,61
3UkN1XeK2D4wD4uhtJx4vb,95470,34
0CREEnqrPXZUTyHKATsUWE,15401,44
7EFB09NxZrMi9pGlOnuBpd,275777,45
1WVGbBnzZ5WLZ2PfesIHik,48102,42
69zPIMRgsZieOHFtHtvnj0,26292,32
