artist_id,artist_genres
5tDjiBYUsTqzd0RkTZxK7u,deep house
4tK6Z8fK7Sc9133byjPGIT,alt country
0jyH4jtanxaysaxwDVhR6f,ambient
3MAzDpqE01xyUmzNsc0Ee0,soul
4VcTmgGKGuJn56Ac2zNhiH,ambient folk
4fd3n8zcAmsG2up1QWDNj5,jazz house
1fRv9jiRIN7zAOSpOfRP73,egg punk
7d0wUlQ0ZXIGFa0YzuBiR6,dream pop
3TJZG17pjOKXwx1ELKJPfm,shoegaze
4yRSUmhuSJ3KcIMljdh4fH,mathcore
5vjIHa1u3TnOlDvVDR9qQa,dream pop
4SpbR6yFEvexJuaBpgAU5p,k-pop
78rUTD7y6Cy67W1RVzYs7t,bedroom pop
4LEiUm1SRbFMgfqnQTwUbQ,indie folk
4q3ewBCX7sLwd24euuV69X,latin
2rLGlNI6htigNxx172qxLu,hyperpop
0IVapwlnM3dEOiMsHXsghT,idm
2Au9zIICTEr0oeV1iQrJ6X,jersey club
1AHswQqsDNmu1xaE8KpBne,hyperpop
0zo109NM3S7CqHpvlXwqEN,techno
4m7q9onIm2bqhwHy9utqmw,gabber
18mAiJGFVBU5YdiIUIdzL2,k-rock
0s4kXsjYeH0S1xRyVGN4NO,uk r&b
3SXwqSqAoBz9WCI9PDQzY6,post-punk
4rdJkXHNrMgowlwUdQAg8T,electropop
2hk94pAZS1iYSqoICeTyh1,jazz house
2BMq835Yir366yDKvW3Rcv,underground hip hop
4CJ5eNfmJHQ5spEAvaxj8F,midwest emo
4BrSvpXSgT02JhhNULggJk,hyperpop
7x3mbyjfOZ9y599MHmyNOu,experimental hip hop
6wD4PrOL4VPp0SDCtpbtba,jazz rap
27DeRe5LjIt9ZPXUjF90h6,jazz
089ASSwOW4Cih3frNuDtUv,underground hip hop
5RTLRtXjbXI2lSXc6jxlAz,indie soul
0WtTGUjbur1R1cNzBvbsMU,shoegaze
4Gmrt82h2vjGjnp67SG5Nw,post-punk
6styCzc1Ej4NxISL0LiigM,art rock
04vEYZm6KQQCtUWs2hM8Dj,shoegaze
1G5v3lpMz7TeoW0yGpRQHr,chillwave
5FxD8fkQZ6KcsSYupDVoSO,bedroom pop
4UHzJP2iKVf0RhKIv7ZE2l,space rock
6wH6iStAh4KIaWfuhf0NYM,latin alternative
6TMBV8J3Jq1Gr5A5bFmVqf,french rap
38GSybQjdc6sxptciOkxMq,french house
3lN70MoiO9u6b95CsTeB1J,idm
6hW33nVHPElaXuG2hQ0QOp,hardcore
2pe1uLYghU4lj6Fe6qq8k6,egg punk
5sn6aQFrJvjsSIuaomA4to,noise rock
6sNcyjEVdNlZ0dpgr7EcT9,lo-fi indie
7xJVICbAWizNBKBD3mRWjF,electroclash
1Xxg6sCMl7PmZCdolPyxh0,underground hip hop
3A5tHz1SfngyOZM2gItYKu,alternative hip hop
6HCzzbQ8cHeZnqojIk7HgE,post-punk
4M5b70A8aORXdyJVjRJ8du,alté
2siXaXrok89Fp1PZI7sn0s,alté
1HY2Jd0NmPuamShAr6KMms,pop
16Yf6ZfrDTWu4jt7GQrjdL,newgrass
2lP34R0Q7edlojuJrUMPnj,dream pop
6xFrZbce9KH5APjBe4QVNa,underground hip hop
3183eBpNb3nicV6VkhwCUL,idm
2uE66NiUti6Wpz90SD4eam,jazz funk
6O5GOlHxncbRRAntqtIYMP,lo-fi indie
3OFGFjAzm030YXGPDQ4Sio,post-disco
2h0hfblKFcjOdz52vre1OV,post-punk
6p355yiyJc67iSNeWLM8WH,lo-fi indie
2EQ3ptCOffN09sfwUz3vzy,indie punk
0CREEnqrPXZUTyHKATsUWE,french pop
0qc4BFxcwRFZfevTck4fOi,cloud rap
6fFcUOFcbjeIuEomuUthkw,hyperpop
3PpJbrAbphauEun8Xf9tD2,shatta
2KlDlqEMf0YyYW8rBKUx6W,french house
7d1ctWXfrUvAe804Zld3Gy,french indie pop
2YZyLoL8N0Wb9xBt1NhZWg,west coast hip hop
6Qhgat07PNOdnJSnCXJigu,j-rap
2p4aN0Uxkk3iT3HK0cJ2cJ,neoperreo
3VHAySZQPlfGlNLslzXYpN,latin hip hop
5Iy1erNAuG9Fefscf6miAR,new orleans bounce
6ignRjbPmLvKdtMLj9a5Xs,shibuya-kei
40ZElxHldNyvn7x8WRC6fh,experimental hip hop
6HCkJzbswOIc7Qc5TJ1n5l,alternative r&b
2Hgj50QKDLwDTRjb42hRIT,alté
5X0V59ipZnbvnubW0rQVri,east coast hip hop
0eVyjRhzZKke2KFYTcDkeu,boom bap
62tqJaaK7ys8tATtp4334R,metalcore
4wf6GGNBqaU79839E6yjfn,hardcore punk
0yknvLWQZxwsMjhUhwWZQ8,jersey club
0hF6lbAjRsq4svrQUr5sgU,jersey club
3BcgTyEdL81zMljmXcilZM,sexy drill
7tYKF4w9nC0nq9CsPZTHyP,r&b
7aFTOGFDEqDtJUCziLVsVC,uk r&b
3wcj11K77LjEY1PkEazffa,afropiano
3yDDYheQFqfhKZXdjFQuuP,liquid funk
7HvAimFUDbhD9XRv1dbJ9t,liquid funk
3QBGARmgMgRi08atqAWAV2,taiwanese pop
5STTEE3TlZg9gb3xNC4RHF,french house
39ZEMGRv3pIYTYKEhr4Abu,indie folk
4KEHIUSoWCcqrk8AddTE1O,shoegaze
39vtb2iiz3079nqfL5nfFc,experimental
61awhbNK16ku1uQyXRsQj5,emo
5piONaqFh85tIjxSQgZuWA,emo
50co4Is1HCEo8bhOyUWKpn,trap
1RyvyyTE3xzB2ZywiAwp0i,rap
