track_id;popularity;track_name;duration
3kFnwZHnMMNeO2YpOZyZVw;58;Hiding;222092
6OlITNJTY5qvSjtJa684wc;30;Cream Of The Crop;246120
3jlacMjHZ9VGCOmz5CjHE0;55;Homie Don’t Shake;176213
10cGyorRXoOc9RhVhY9Sru;6;She's Leaving You;278226
4a2hgYLUWVoMDOrh08LQqW;24;Avanvera;412191
5O0NtSxrPa8nNCMrPqyxrQ;16;Hooked Paw;200378
6HsIV3KVhmY20DAyt5u0ug;0;Wristwatch;222453
4hZVOkigyLvFdDT3UnDHTU;27;You Can Count On Me;249280
2xLcz4DvDu1fkcVMxU95JS;12;This Thread Is a Green Street;226390
4dStHgygFvGVwyFPkJLOZO;47;Colors (feat. stoneda5th & Mozzy);254391
3Hv4xBC72YuArfMbfeNmJG;27;Light;191782
6mwcIWE0QocjNQpKp048JB;11;No Good;213034
19exW77hmfxwbQ1P96vOSS;32;Persona;132240
62ZTzwoCs7AmirXl7BSpni;0;It Gets Easier;155773
2V0hvlkjUrp9GxL6iHnOJD;22;I Am Dog Now;233035
2dLVXnwdnstcHIRTJMgqsx;58;Seed of a Seed;164000
4boKhmp1Acx4RLXHZwzj6n;6;Apple;277939
53xmr7bWbnVA5nanQc9she;10;Rock N Roll Never Forgets;427706
4qlR54adNva35J2ox9Apmz;6;Fun Time Fix (We Go Go);173334
3lLH0FlC2pYCeZEf05zKQn;63;CRAZY (feat. PinkPantheress);168000
6khKJVbTxzfhbGfHMtyOM8;10;S P E Y S I D E;209077
7KANSTlZEsFix378ARiJ5b;27;Philosophy;242882
3QMCIWdYpl9ALwyPG9udcz;24;God Take Me Out of LA;248520
059qzhNaJb8tsqpdl2bHfF;65;Una Velita;239986
6XuQzFKU3rJNNEEs6lyIuQ;55;Flash in the Pan;223365
6g80KZsDgDKUUinR5biFcC;37;RB3;239890
0BMFTGo7flIdopJLYV2Ueu;41;SPANK!;163263
4ef4wC5lkqezaUb5XNjNub;15;Flowers;210090
0UWX9IHs29vm1odEcn4Asd;42;Jawbreaker;134500
3KkesrPkSGFZYXUHtk1Zfn;50;TITS, LIPS, HIPS, KISS (10/10 Remix);216533
034saLwfjgOw6b1ZJoXcVF;35;Gasoline;199938
3tNa8xKl7HWeXHFYNnttvD;50;Check;165106
58tz5wYT6bAvhhO9pjsXLP;49;Here's The Thing;163412
1nrRFHurbF6jhinVdptcrz;11;In A Dream;443040
5G2f63n7IPVPPjfNIGih7Q;92;Taste;157279
4WWfv1skKJIFfIQ8nMrdPz;25;Backyard Lover;328348
7lFRoZgi23jaHgEpQcD1JJ;24;Vanessa;397226
2dMfQ4fclU1mzo3YKSpqvF;4;Sleeper;194080
3n4FkCfKlscDqYPMcTBdXm;39;BROKEN;271435
1Iq69WCDHuVmIJ4pjLC1TL;27;Keep It Rising;194962
6HRXAtJ0ZfdHYIyBbFKwuO;0;Jam the Phones;226360
7F7tkvQTutq9Hkx4XibCj3;7;To Your Own Devices;201632
753EklH444D0oZj4ClafLc;36;Time For Slurp;117876
3X2FHgawYuFMsoR6TQQBmm;0;Til The End;117480
5wPhXheKbSHfgTV93nIFud;7;String Lights;203192
4s2jY1IybI3jhgw8ybldlX;27;Ecig;366946
4Pu1l1CF4rcN3xIgWbgni6;16;Saltlick;95515
5pHG1esQgfCqS4sbvlZ1GY;12;The Ocean;181720
2HLZ31ryjn64T13bKrMxAy;3;Golden Tooth;162529
2Q1Fx1SDZuyrklvnLs7JCJ;0;Electrische;211598
7Gu0awrdJUvfRNDoXIIAMF;13;MANTO;279528
7G0wdE6RUVaOXFDRkElQz4;43;INRI;145303
3VPvbDjR0UOekMVCYa22iF;56;Vogue;120032
1UNEuG9DYOWiikf00ayr52;90;Love Me Not;213466
6rN6jsmHIUVxldZrv6LYJK;23;Come Back To Me [Demo];186990
2aeOHlYvx9IIdWmyTiQelk;19;Mob DLA;149397
7i5M9mb2gF9VvuNSlUsAaz;36;Don't Get Me Started;355733
5NiDo8amNbwDXvcZqXYjht;14;wish u well;213360
0lxJSpSLiynTr9TvZrsfEj;18;Never Arriving;131003
3okYl2imBdzpC8OMzszyFf;5;Boiler Room;247587
4uDeQXz5gEE9maP6lNFtrg;42;Take a Trip;239999
6RoPzFHcHgEBgdeYwJe1ih;42;Plane Trees (feat. Mustafa);211826
6Qzh9H5JQhM2t8ReA0Bs3J;23;All 2 of Us;250023
5oVn6GZuuMDlsBqWl1FzNi;68;Giannis;121548
6GiJACBbYHIOeghfZmbLuI;53;Tu Te Vas;205839
4CP0pVsMhxvnRz7hs17SGz;36;Reckless;228622
3fvZo45Y28ly1QBo05pujJ;74;Let's Go Back;169651
55Hlg31EQDXQn71p1KIr8r;48;Clueless;208298
2GK0yEfMHJg7pXloAtVQSb;48;Ô travers;161912
2pj2A25YQK4uMxhZheNx7R;47;Otherside;233211
259NyV6tYldJL4ruzTa2DQ;16;Which Way Is Up;350577
62camXiL7evu87vDZ7EKSH;40;Special;177975
17LXENs0TsxV2AZ3pkmkYm;21;It’s Only A Secret;165901
6xRWrnFAD6te7v9BTxf7AV;12;game of zeroes;220306
564MF96Rb5Auoah0NOmSRP;4;A Long Beautiful Flowing Cape;255666
3K3JJJT20PwS4JkftkUiOk;27;Contrarian;337732
2od47WyjMpBiW37JNEdnrN;24;I’m Signed to Lex Now I’m Up;259782
02o2gJuOpO3Su0d6BXmir5;18;No Time;118273
6legbS59rPTHhNRrVdABTk;47;Words2LiveBy (feat. Earl Sweatshirt);136874
3JbvohVqOPOXu7BTzcJCsQ;9;House;238360
4hCdrbscKtHN0nUPYyue5W;35;Nothing Lasts Forever;197933
2zs0Oae871mUHpS0iOMJ7O;21;Afterlife;248215
1Qt3dchH0t0if7vjaW6UKr;19;Excuse My French;87843
0o2JLyPbVzGDVGSZ3MhPb7;48;I’ve Never Met Anyone I Thought I Could Really Love (Until I Met You);167866
19KlZwqlT3fguP2BeHF1Q1;77;Disease;229997
4XoPaOi4PD43xD2YX1Rrsy;5;Nintendo Morning;183493
4IVL36GiCAy13bmMQdkVty;5;Mary Kate;88659
39Lwc0RPO0H9Mx5gAQAsD3;18;Unbelonging;210711
4HeZLzmeDv9Aolc3G1RBiN;12;CRY LATER LAUGH NOW;139151
3s7KQvLp33f6rYadiD405h;5;Specials;280866
1FWpMnt9rIlvox16KNPfq3;16;House Party;340000
0Q2KybhXEtsbcFaOcZnd66;6;Book 1;100108
5D3BtuQeL2qBgORJpdosSR;10;Turned on to you - 7'' Version;275000
0VaeksJaXy5R1nvcTMh3Xk;80;Darling, I (feat. Teezo Touchdown);253834
2zx3s7ldX0gQa1Z0lGWmb7;8;Wish Defense;245800
3m10td2UJ3mydhpGliRGMx;24;Skinny Jeans & Gucci Belts;137647
0tll4NgEmf4ySmkYznWr7M;4;Champaign Ill;209920
6HDAOBavN7nhIDWgJJSAeP;26;CVS on a Walk;258596
